Province/State;Country/Region;Lat;Long;Date;Value;ISO 3166-1 Alpha 3-Codes;Region Code;Sub-region Code;Intermediate Region Code;
;Algeria;280.339;16.596;28/01/2020;0;DZA;2;15;;
;Algeria;280.339;16.596;27/01/2020;0;DZA;2;15;;
;Algeria;280.339;16.596;26/01/2020;0;DZA;2;15;;
;Algeria;280.339;16.596;25/01/2020;0;DZA;2;15;;
;Algeria;280.339;16.596;24/01/2020;0;DZA;2;15;;
;Algeria;280.339;16.596;23/01/2020;0;DZA;2;15;;
;Algeria;280.339;16.596;22/01/2020;0;DZA;2;15;;
;Andorra;425.063;15.218;13/05/2020;760;AND;150;39;;
;Andorra;425.063;15.218;12/05/2020;758;AND;150;39;;
;Andorra;425.063;15.218;11/05/2020;755;AND;150;39;;
;Andorra;425.063;15.218;10/05/2020;755;AND;150;39;;
;Andorra;425.063;15.218;09/05/2020;754;AND;150;39;;
;Andorra;425.063;15.218;08/05/2020;752;AND;150;39;;
;Andorra;425.063;15.218;07/05/2020;752;AND;150;39;;
;Andorra;425.063;15.218;06/05/2020;751;AND;150;39;;
;Andorra;425.063;15.218;05/05/2020;751;AND;150;39;;
;Andorra;425.063;15.218;04/05/2020;750;AND;150;39;;
;Andorra;425.063;15.218;03/05/2020;748;AND;150;39;;
;Andorra;425.063;15.218;02/05/2020;747;AND;150;39;;
;Andorra;425.063;15.218;01/05/2020;745;AND;150;39;;
;Andorra;425.063;15.218;30/04/2020;745;AND;150;39;;
;Andorra;425.063;15.218;29/04/2020;743;AND;150;39;;
;Andorra;425.063;15.218;28/04/2020;743;AND;150;39;;
;Andorra;425.063;15.218;27/04/2020;743;AND;150;39;;
;Andorra;425.063;15.218;26/04/2020;738;AND;150;39;;
;Andorra;425.063;15.218;25/04/2020;738;AND;150;39;;
;Andorra;425.063;15.218;24/04/2020;731;AND;150;39;;
;Andorra;425.063;15.218;23/04/2020;723;AND;150;39;;
;Andorra;425.063;15.218;22/04/2020;723;AND;150;39;;
;Andorra;425.063;15.218;21/04/2020;717;AND;150;39;;
;Andorra;425.063;15.218;20/04/2020;717;AND;150;39;;
;Andorra;425.063;15.218;19/04/2020;713;AND;150;39;;
;Andorra;425.063;15.218;18/04/2020;704;AND;150;39;;
;Andorra;425.063;15.218;17/04/2020;696;AND;150;39;;
;Andorra;425.063;15.218;16/04/2020;673;AND;150;39;;
;Andorra;425.063;15.218;15/04/2020;673;AND;150;39;;
;Andorra;425.063;15.218;14/04/2020;659;AND;150;39;;
;Andorra;425.063;15.218;13/04/2020;646;AND;150;39;;
;Andorra;425.063;15.218;12/04/2020;638;AND;150;39;;
;Andorra;425.063;15.218;11/04/2020;601;AND;150;39;;
;Andorra;425.063;15.218;10/04/2020;601;AND;150;39;;
;Andorra;425.063;15.218;09/04/2020;583;AND;150;39;;
;Andorra;425.063;15.218;08/04/2020;564;AND;150;39;;
;Andorra;425.063;15.218;07/04/2020;545;AND;150;39;;
;Andorra;425.063;15.218;06/04/2020;525;AND;150;39;;
;Andorra;425.063;15.218;05/04/2020;501;AND;150;39;;
;Andorra;425.063;15.218;04/04/2020;466;AND;150;39;;
;Andorra;425.063;15.218;03/04/2020;439;AND;150;39;;
;Andorra;425.063;15.218;02/04/2020;428;AND;150;39;;
;Andorra;425.063;15.218;01/04/2020;390;AND;150;39;;
;Andorra;425.063;15.218;31/03/2020;376;AND;150;39;;
;Andorra;425.063;15.218;30/03/2020;370;AND;150;39;;
;Andorra;425.063;15.218;29/03/2020;334;AND;150;39;;
;Andorra;425.063;15.218;28/03/2020;308;AND;150;39;;
;Andorra;425.063;15.218;27/03/2020;267;AND;150;39;;
;Andorra;425.063;15.218;26/03/2020;224;AND;150;39;;
;Andorra;425.063;15.218;25/03/2020;188;AND;150;39;;
